187*1,187,187,1
186-457,-271,186,457
9-434,-425,9,434
336-157,179,336,157
35*337,11795,35,337
35*337,11795,251,386
97-306,-209,97,306
96/364,0.26,96,364
362+290,652,362,290
110+43,153,110,43
344+187,531,344,187
381*232,88392,381,232
381*232,88392,145,95
80+146,226,80,146
57/302,0.19,57,302
85+484,569,85,484
112*392,43904,112,392
365+84,449,365,84
261+39,300,261,39
338*210,70980,338,210
37*97,3589,37,97
150/521,0.29,150,521
150/521,0.29,296,42
422+475,897,422,475
422+475,897,434,42
422+475,897,55,300
85*347,29495,85,347
243-463,-220,243,463
22*252,5544,22,252
383-225,158,383,225
108+464,572,108,464
108+464,572,235,453
251-232,19,251,232
42/519,0.08,42,519
305/517,0.59,305,517
305/517,0.59,221,213
101/298,0.34,101,298
101/298,0.34,136,148
63/33,1.91,63,33
181-1,180,181,1
264+498,762,264,498
264+498,762,83,3
199/348,0.57,199,348
18/488,0.04,18,488
179/423,0.42,179,423
289*376,108664,289,376
394*228,89832,394,228
127*170,21590,127,170
0+168,168,0,168
407*550,223850,407,550
226+302,528,226,302
392-337,55,392,337
5*461,2305,5,461
515*277,142655,515,277
471/289,1.63,471,289
329*352,115808,329,352
329*352,115808,44,71
502/24,20.92,502,24
508*483,245364,508,483
80+121,201,80,121
282-328,-46,282,328
223+350,573,223,350
319*99,31581,319,99
212+278,490,212,278
126*321,40446,126,321
542*329,178318,542,329
347*332,115204,347,332
347*332,115204,80,126
347*332,115204,361,201
147-188,-41,147,188
147-188,-41,299,280
560*10,5600,560,10
507/183,2.77,507,183
42/366,0.11,42,366
57/320,0.18,57,320
176-547,-371,176,547
192+17,209,192,17
300-21,279,300,21
484+253,737,484,253
179-556,-377,179,556
97/273,0.36,97,273
558+433,991,558,433
558+433,991,119,286
558+433,991,378,406
523/418,1.25,523,418
523/418,1.25,29,399
458+479,937,458,479
458+479,937,326,284
530+115,645,530,115
127+164,291,127,164
127+164,291,586,450
127+164,291,343,324
215*470,101050,215,470
207*539,111573,207,539
535-584,-49,535,584
526*271,142546,526,271
168-145,23,168,145
441-342,99,441,342
389-91,298,389,91
244/135,1.81,244,135
489/582,0.84,489,582
461*252,116172,461,252
431*39,16809,431,39
227-304,-77,227,304
227-304,-77,591,426
181-578,-397,181,578
294+77,371,294,77
156/299,0.52,156,299
101/400,0.25,101,400
64+354,418,64,354
244/569,0.43,244,569
436/122,3.57,436,122
535-559,-24,535,559
53-356,-303,53,356
543-162,381,543,162
165/15,11,165,15
596/374,1.59,596,374
266+349,615,266,349
266+349,615,483,551
150+230,380,150,230
32-395,-363,32,395
32-395,-363,76,11
445+360,805,445,360
207-609,-402,207,609
270/172,1.57,270,172
481/244,1.97,481,244
5+289,294,5,289
391*586,229126,391,586
421*403,169663,421,403
421*403,169663,343,574
16+346,362,16,346
16+346,362,33,281
285-409,-124,285,409
387+375,762,387,375
387+375,762,92,550
471*1,471,471,1
146*294,42924,146,294
463*204,94452,463,204
556*70,38920,556,70
403+105,508,403,105
329+351,680,329,351
624-144,480,624,144
624-144,480,286,28
621+387,1008,621,387
621+387,1008,118,405
138-543,-405,138,543
490+273,763,490,273
507+244,751,507,244
211+30,241,211,30
122*556,67832,122,556
344+400,744,344,400
389*371,144319,389,371
194+474,668,194,474
194+474,668,329,631
114/532,0.21,114,532
114/532,0.21,570,170
167-572,-405,167,572
579/62,9.34,579,62
579/62,9.34,322,419
517*94,48598,517,94
488-604,-116,488,604
536/118,4.54,536,118
206+330,536,206,330
176+55,231,176,55
402+649,1051,402,649
238*632,150416,238,632
9/104,0.09,9,104
177*441,78057,177,441
177*441,78057,494,135
96-310,-214,96,310
157-101,56,157,101
345/537,0.64,345,537
669*512,342528,669,512
82/646,0.13,82,646
464/127,3.65,464,127
446/306,1.46,446,306
290*327,94830,290,327
290*327,94830,612,341
488/243,2.01,488,243
340*160,54400,340,160
348-154,194,348,154
370/516,0.72,370,516
470+205,675,470,205
679-371,308,679,371
260/397,0.65,260,397
345*457,157665,345,457
551/47,11.72,551,47
494+457,951,494,457
225/264,0.85,225,264
421-378,43,421,378
421-378,43,476,335
215/458,0.47,215,458
695+510,1205,695,510
410/341,1.2,410,341
410/341,1.2,548,251
593-533,60,593,533
593-533,60,407,4
593-533,60,208,588
186/84,2.21,186,84
489-516,-27,489,516
489-516,-27,273,682
489-516,-27,270,92
641+570,1211,641,570
641+570,1211,589,302
477+201,678,477,201
279*483,134757,279,483
451/257,1.75,451,257
451/257,1.75,637,648
451/257,1.75,199,18
207+377,584,207,377
296*428,126688,296,428
180/388,0.46,180,388
513/234,2.19,513,234
187/476,0.39,187,476
706-297,409,706,297
29-255,-226,29,255
194/383,0.51,194,383
687/651,1.06,687,651
507-336,171,507,336
507-336,171,632,436
507-336,171,481,606
249-197,52,249,197
95*381,36195,95,381
95*381,36195,187,622
349/216,1.62,349,216
349/216,1.62,326,682
624+229,853,624,229
445+154,599,445,154
709+80,789,709,80
481-259,222,481,259
218-387,-169,218,387
218-387,-169,123,357
486/491,0.99,486,491
64+545,609,64,545
57-51,6,57,51
57-51,6,188,122
252+503,755,252,503
352/195,1.81,352,195
216*657,141912,216,657
216*657,141912,292,332
689-57,632,689,57
70-380,-310,70,380
70-380,-310,204,574
102*579,59058,102,579
102*579,59058,39,598
102*579,59058,58,497
160-348,-188,160,348
19-464,-445,19,464
424+93,517,424,93
110-267,-157,110,267
705/401,1.76,705,401
548+104,652,548,104
358/299,1.2,358,299
100+259,359,100,259
488/53,9.21,488,53
488/53,9.21,53,183
271-44,227,271,44
34+213,247,34,213
734+710,1444,734,710
350-505,-155,350,505
432/566,0.76,432,566
432/566,0.76,718,210
376*39,14664,376,39
752+218,970,752,218
344/36,9.56,344,36
168-629,-461,168,629
768*43,33024,768,43
627+149,776,627,149
10*262,2620,10,262
451+150,601,451,150
451+150,601,178,625
582*513,298566,582,513
582*513,298566,444,728
163+674,837,163,674
770*681,524370,770,681
612/460,1.33,612,460
197+313,510,197,313
202*757,152914,202,757
68+192,260,68,192
345*605,208725,345,605
345*605,208725,387,641
770*485,373450,770,485
257*38,9766,257,38
110+567,677,110,567
161*447,71967,161,447
761-590,171,761,590
564+742,1306,564,742
686+215,901,686,215
399+30,429,399,30
49/758,0.06,49,758
347*691,239777,347,691
394*65,25610,394,65
394*65,25610,579,758
394*65,25610,512,531
628+351,979,628,351
213-170,43,213,170
277/19,14.58,277,19
130-207,-77,130,207
703+164,867,703,164
648*547,354456,648,547
464+658,1122,464,658
269-333,-64,269,333
215-358,-143,215,358
774-351,423,774,351
292/460,0.63,292,460
629+64,693,629,64
657*358,235206,657,358
304+410,714,304,410
244*693,169092,244,693
244*693,169092,131,575
599/770,0.78,599,770
613+717,1330,613,717
733/666,1.1,733,666
733/666,1.1,350,321
783+759,1542,783,759
339/48,7.06,339,48
417/78,5.35,417,78
247*816,201552,247,816
609/378,1.61,609,378
665+74,739,665,74
90-194,-104,90,194
303-642,-339,303,642
432/184,2.35,432,184
432/184,2.35,473,294
383*668,255844,383,668
531*201,106731,531,201
312-350,-38,312,350
331/799,0.41,331,799
776*628,487328,776,628
776*628,487328,626,573
179/358,0.5,179,358
179/358,0.5,588,341
334/299,1.12,334,299
92/694,0.13,92,694
92/694,0.13,135,751
272+284,556,272,284
445/376,1.18,445,376
187/574,0.33,187,574
732+490,1222,732,490
481+648,1129,481,648
467/392,1.19,467,392
300*83,24900,300,83
298-305,-7,298,305
296*485,143560,296,485
51*18,918,51,18
51*18,918,82,683
725-716,9,725,716
416+13,429,416,13
416+13,429,851,828
23*301,6923,23,301
835-113,722,835,113
273-268,5,273,268
268*581,155708,268,581
642-316,326,642,316
642-316,326,471,551
520*669,347880,520,669
279+64,343,279,64
279+64,343,717,175
467+20,487,467,20
784-830,-46,784,830
156+322,478,156,322
519-110,409,519,110
423/412,1.03,423,412
473/768,0.62,473,768
473/768,0.62,219,113
619/113,5.48,619,113
619/113,5.48,583,464
619/113,5.48,450,658
499-641,-142,499,641
499-641,-142,740,450
20+689,709,20,689
580*763,442540,580,763
848*596,505408,848,596
288/197,1.46,288,197
288/197,1.46,239,642
136*35,4760,136,35
136*35,4760,97,709
727*569,413663,727,569
727*569,413663,636,332
471-287,184,471,287
727/801,0.91,727,801
738/331,2.23,738,331
101/573,0.18,101,573
101/573,0.18,14,886
345*835,288075,345,835
578/86,6.72,578,86
674+667,1341,674,667
456-558,-102,456,558
456-558,-102,563,534
310*170,52700,310,170
638/232,2.75,638,232
660/717,0.92,660,717
63/761,0.08,63,761
521*284,147964,521,284
711+496,1207,711,496
646+507,1153,646,507
752*100,75200,752,100
435*117,50895,435,117
640/106,6.04,640,106
659/82,8.04,659,82
899-106,793,899,106
820+756,1576,820,756
326-623,-297,326,623
326-623,-297,298,437
39-339,-300,39,339
548-386,162,548,386
211-96,115,211,96
71+817,888,71,817
292+159,451,292,159
80/272,0.29,80,272
80/272,0.29,584,237
101/422,0.24,101,422
101/422,0.24,356,181
633+27,660,633,27
506+662,1168,506,662
255+699,954,255,699
709/14,50.64,709,14
915*168,153720,915,168
394/730,0.54,394,730
263/656,0.4,263,656
845-322,523,845,322
622-192,430,622,192
557-255,302,557,255
366*262,95892,366,262
28+502,530,28,502
212-669,-457,212,669
184*411,75624,184,411
211+542,753,211,542
211+542,753,0,203
357*108,38556,357,108
622+266,888,622,266
289*353,102017,289,353
289*353,102017,319,927
289*353,102017,180,247
350/448,0.78,350,448
804/622,1.29,804,622
581-746,-165,581,746
581-746,-165,64,299
271/815,0.33,271,815
455-797,-342,455,797
310/45,6.89,310,45
260-904,-644,260,904
260-904,-644,799,125
798-900,-102,798,900
710*567,402570,710,567
740*179,132460,740,179
92*64,5888,92,64
92*64,5888,145,370
92*64,5888,77,884
374/555,0.67,374,555
921/614,1.5,921,614
759-670,89,759,670
759-670,89,770,648
62*304,18848,62,304
832+937,1769,832,937
856+189,1045,856,189
415+852,1267,415,852
484-823,-339,484,823
484-823,-339,820,73
484-823,-339,106,282
328+392,720,328,392
426-636,-210,426,636
426-636,-210,269,898
109+871,980,109,871
109+871,980,660,461
937/154,6.08,937,154
298*42,12516,298,42
921-734,187,921,734
921-734,187,906,858
283/650,0.44,283,650
363+313,676,363,313
820+181,1001,820,181
228-459,-231,228,459
628/794,0.79,628,794
361*573,206853,361,573
572/512,1.12,572,512
572/512,1.12,362,809
400-174,226,400,174
400-174,226,730,377
229-623,-394,229,623
59-49,10,59,49
465-839,-374,465,839
285/560,0.51,285,560
419*953,399307,419,953
364+555,919,364,555
259*851,220409,259,851
834+107,941,834,107
525/483,1.09,525,483
372+592,964,372,592
274-672,-398,274,672
215*220,47300,215,220
946+959,1905,946,959
711+117,828,711,117
756+155,911,756,155
902*683,616066,902,683
278/220,1.26,278,220
278/220,1.26,142,544
65*343,22295,65,343
746/960,0.78,746,960
755/594,1.27,755,594
617*209,128953,617,209
996-95,901,996,95
917-649,268,917,649
631*350,220850,631,350
859*99,85041,859,99
812*555,450660,812,555
284/985,0.29,284,985
368*814,299552,368,814
575-873,-298,575,873
503/370,1.36,503,370
677/507,1.34,677,507
9+660,669,9,660
732-912,-180,732,912
59-233,-174,59,233
51/446,0.11,51,446
51/446,0.11,12,136
43+453,496,43,453
625/972,0.64,625,972
140-328,-188,140,328
442/782,0.57,442,782
560*428,239680,560,428
560*428,239680,865,307
1000*690,690000,1000,690
781+1016,1797,781,1016
42+368,410,42,368
42+368,410,555,983
622+256,878,622,256
622+256,878,46,556
330*970,320100,330,970
330*970,320100,553,486
26+936,962,26,936
1016+826,1842,1016,826
834+760,1594,834,760
643/99,6.49,643,99
643/99,6.49,672,1036
429-373,56,429,373
429-373,56,437,771
111-102,9,111,102
732-514,218,732,514
761*65,49465,761,65
443+1040,1483,443,1040
1016+466,1482,1016,466
813/644,1.26,813,644
352/226,1.56,352,226
352/226,1.56,348,453
323/747,0.43,323,747
130+600,730,130,600
130+600,730,784,863
967-788,179,967,788
143/901,0.16,143,901
531*209,110979,531,209
531*209,110979,984,546
356/975,0.37,356,975
356/975,0.37,961,18
651/579,1.12,651,579
714/976,0.73,714,976
0/843,0,0,843
0/843,0,1005,851
451+541,992,451,541
790+853,1643,790,853
790+853,1643,1026,825
802+817,1619,802,817
445*608,270560,445,608
82+1040,1122,82,1040
82+1040,1122,402,78
82+1040,1122,864,892
82+1040,1122,27,969
1024*957,979968,1024,957
48-103,-55,48,103
821*489,401469,821,489
803*234,187902,803,234
1027*889,913003,1027,889
739-99,640,739,99
739-99,640,253,60
736-84,652,736,84
110+575,685,110,575
832-637,195,832,637
832-637,195,352,219
134+471,605,134,471
956+1054,2010,956,1054
1078/1050,1.03,1078,1050
622+577,1199,622,577
873*892,778716,873,892
873*892,778716,348,574
471+907,1378,471,907
208/912,0.23,208,912
573*752,430896,573,752
513/632,0.81,513,632
862-715,147,862,715
862-715,147,1025,254
492+117,609,492,117
617-633,-16,617,633
1067+537,1604,1067,537
546+412,958,546,412
546+412,958,603,801
58*721,41818,58,721
469-381,88,469,381
469-381,88,2,411
236*653,154108,236,653
236*653,154108,476,593
236*653,154108,854,202
236*653,154108,654,734
966/957,1.01,966,957
966/957,1.01,154,605
966/957,1.01,957,1036
716/262,2.73,716,262
716/262,2.73,825,593
716/262,2.73,485,746
658-659,-1,658,659
229-791,-562,229,791
681-551,130,681,551
869/886,0.98,869,886
863*333,287379,863,333
606-851,-245,606,851
606-851,-245,124,417
560*95,53200,560,95
140/820,0.17,140,820
411*1043,428673,411,1043
411*1043,428673,352,585
14-63,-49,14,63
915+628,1543,915,628
70/758,0.09,70,758
1074-809,265,1074,809
1055-175,880,1055,175
1082/1061,1.02,1082,1061
751*40,30040,751,40
1052*307,322964,1052,307
601-195,406,601,195
474-596,-122,474,596
410+742,1152,410,742
830/142,5.85,830,142
1037-784,253,1037,784
805+728,1533,805,728
685+1111,1796,685,1111
958*958,917764,958,958
183-512,-329,183,512
541+100,641,541,100
1017/444,2.29,1017,444
1017/444,2.29,469,49
1017/444,2.29,249,695
1017/444,2.29,752,836
164/733,0.22,164,733
908/776,1.17,908,776
597-934,-337,597,934
597-934,-337,332,858
147-328,-181,147,328
147-328,-181,157,264
1125-462,663,1125,462
623-39,584,623,39
623-39,584,339,55
140/1039,0.13,140,1039
583-1108,-525,583,1108
56/310,0.18,56,310
670+225,895,670,225
225-821,-596,225,821
225-821,-596,1097,456
913+857,1770,913,857
858*721,618618,858,721
233+876,1109,233,876
233+876,1109,141,104
1118*22,24596,1118,22
767*454,348218,767,454
198*1039,205722,198,1039
198*1039,205722,993,470
71*1086,77106,71,1086
105*423,44415,105,423
552+1106,1658,552,1106
914*1128,1030992,914,1128
258+535,793,258,535
635+458,1093,635,458
766-1163,-397,766,1163
766-1163,-397,942,217
1012+235,1247,1012,235
1012+235,1247,319,921
195/371,0.53,195,371
831-904,-73,831,904
831-904,-73,693,817
763-1137,-374,763,1137
463/186,2.49,463,186
638*922,588236,638,922
1068-671,397,1068,671
490/383,1.28,490,383
166*426,70716,166,426
510/12,42.5,510,12
628/221,2.84,628,221
628/221,2.84,176,495
628/221,2.84,795,966
387-1125,-738,387,1125
387-1125,-738,286,826
387-1125,-738,769,75
807-375,432,807,375
807-375,432,1183,89
124*217,26908,124,217
969-221,748,969,221
969-221,748,702,1063
355/539,0.66,355,539
355/539,0.66,1066,231
403+358,761,403,358
217-660,-443,217,660
973*604,587692,973,604
973*693,674289,973,693
930/387,2.4,930,387
411-250,161,411,250
362+1052,1414,362,1052
276+965,1241,276,965
136*608,82688,136,608
0/978,0,0,978
138*419,57822,138,419
138*419,57822,167,438
487/1063,0.46,487,1063
1203*1075,1293225,1203,1075
646*370,239020,646,370
815-152,663,815,152
91*703,63973,91,703
467+912,1379,467,912
297+351,648,297,351
720*1133,815760,720,1133
15-541,-526,15,541
547/971,0.56,547,971
1026+375,1401,1026,375
675/963,0.7,675,963
141+414,555,141,414
912-8,904,912,8
1165-858,307,1165,858
588+543,1131,588,543
971-469,502,971,469
968-416,552,968,416
65/93,0.7,65,93
425/928,0.46,425,928
228*367,83676,228,367
1068-1213,-145,1068,1213
662+703,1365,662,703
481*745,358345,481,745
850+520,1370,850,520
713/50,14.26,713,50
353/419,0.84,353,419
58-740,-682,58,740
1051+405,1456,1051,405
1051+405,1456,4,151
969-942,27,969,942
558/489,1.14,558,489
93-1081,-988,93,1081
929*733,680957,929,733
929*733,680957,639,157
548+239,787,548,239
77+196,273,77,196
213*4,852,213,4
688+905,1593,688,905
1132*670,758440,1132,670
812+534,1346,812,534
800+1008,1808,800,1008
800+1008,1808,1110,262
654/696,0.94,654,696
146/274,0.53,146,274
146/274,0.53,70,415
307/536,0.57,307,536
920*318,292560,920,318
920*318,292560,652,369
759+153,912,759,153
993-601,392,993,601
1215+1156,2371,1215,1156
1046+1233,2279,1046,1233
893/1044,0.86,893,1044
822*1117,918174,822,1117
263-225,38,263,225
1217+761,1978,1217,761
1217+761,1978,1032,24
778+75,853,778,75
